                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.225,                 1.8901,                 1.1832,                0.66862,                0.63052,                0.59592,                0.34591,                 1.2956,                 1.7993,                 1.0115,               0.070129,               0.003319,               0.003319
                      1,                 1.0787,                 1.2465,                 1.0871,                0.74989,                0.67871,                0.69489,                0.44652,                 1.2295,                 1.4516,                0.99763,               0.036836,              0.0033594,              0.0033594
